Region/Country/Area,Land,Year,Series,Value,Footnotes,Source
710,South Africa,2016,Arable land (% of total land area),10.3000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
710,South Africa,2016,Permanent crops (% of total land area),0.3000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
710,South Africa,2016,Forest cover (% of total land area),7.6000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
710,South Africa,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),37.7100,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
710,South Africa,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),37.7100,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
239,South Georgia & Sandwich Is.,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0000,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
239,South Georgia & Sandwich Is.,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0000,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
239,South Georgia & Sandwich Is.,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),100.0000,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
728,South Sudan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),30.2600,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
728,South Sudan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),33.6400,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
728,South Sudan,2016,Forest cover (thousand hectares),7157.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
728,South Sudan,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),33.6400,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
728,South Sudan,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),33.6400,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
724,Spain,2005,Land area (thousand hectares),49909.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2005,Arable land (thousand hectares),12913.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2005,Permanent crops (thousand hectares),4931.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2005,Forest cover (thousand hectares),17282.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2005,Arable land (% of total land area),25.9000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2005,Permanent crops (% of total land area),9.9000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2005,Forest cover (% of total land area),34.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),53.0100,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
724,Spain,2010,Land area (thousand hectares),50001.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2010,Arable land (thousand hectares),12528.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2010,Permanent crops (thousand hectares),4693.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2010,Forest cover (thousand hectares),18247.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2010,Arable land (% of total land area),25.1000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2010,Permanent crops (% of total land area),9.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2010,Forest cover (% of total land area),36.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),54.5600,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
724,Spain,2016,Land area (thousand hectares),49956.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2016,Arable land (thousand hectares),12337.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2016,Permanent crops (thousand hectares),4696.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2016,Forest cover (thousand hectares),18452.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2016,Arable land (% of total land area),24.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2016,Permanent crops (% of total land area),9.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
724,Spain,2016,Forest cover (% of total land area),36.9000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
