,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?
13-May,17.00,332.00,580.00,29.00,40.00,181.00,5554.00,65.00,1556.00,1023.00,1772.00,129.00,230.00,220.00,291.00,138.00,111.00,344.00,322.00,339.00,82.00,200.00,167.00,803.00,101.00,66.00,88.00,78.00,50.00,70.00,328.00,73.00,19.00,19.00,21.00
14-May,17.00,337.00,593.00,29.00,42.00,185.00,5688.00,66.00,1565.00,1066.00,1863.00,129.00,238.00,223.00,294.00,138.00,111.00,350.00,441.00,371.00,83.00,202.00,166.00,840.00,111.00,66.00,94.00,81.00,62.00,88.00,332.00,74.00,19.00,21.00,21.00
15-May,17.00,343.00,622.00,29.00,53.00,188.00,5774.00,69.00,1596.00,1109.00,1921.00,129.00,251.00,227.00,363.00,141.00,115.00,358.00,458.00,393.00,105.00,202.00,183.00,871.00,112.00,66.00,95.00,85.00,62.00,88.00,335.00,74.00,19.00,22.00,21.00
16-May,18.00,346.00,626.00,29.00,56.00,194.00,5881.00,79.00,1618.00,1140.00,2105.00,131.00,253.00,227.00,370.00,153.00,116.00,365.00,458.00,396.00,114.00,202.00,189.00,917.00,113.00,66.00,95.00,88.00,62.00,102.00,350.00,75.00,47.00,23.00,21.00
17-May,18.00,348.00,650.00,29.00,65.00,199.00,6010.00,80.00,1652.00,1157.00,2152.00,132.00,254.00,227.00,372.00,155.00,116.00,371.00,521.00,408.00,114.00,218.00,191.00,951.00,115.00,67.00,99.00,92.00,84.00,105.00,383.00,75.00,59.00,24.00,21.00
18-May,18.00,359.00,677.00,29.00,66.00,200.00,6059.00,81.00,1677.00,1165.00,2296.00,132.00,255.00,227.00,438.00,155.00,127.00,375.00,537.00,409.00,116.00,225.00,191.00,1017.00,115.00,83.00,101.00,93.00,107.00,105.00,383.00,75.00,68.00,28.00,21.00
19-May,18.00,363.00,698.00,29.00,67.00,207.00,6155.00,84.00,1700.00,1175.00,2377.00,132.00,258.00,232.00,484.00,160.00,140.00,375.00,597.00,420.00,126.00,235.00,202.00,1064.00,115.00,84.00,106.00,95.00,107.00,105.00,389.00,77.00,71.00,28.00,21.00
20-May,18.00,371.00,699.00,35.00,67.00,209.00,6236.00,89.00,1876.00,1192.00,2496.00,132.00,264.00,241.00,547.00,160.00,140.00,393.00,646.00,428.00,152.00,250.00,202.00,1101.00,115.00,85.00,107.00,96.00,124.00,106.00,409.00,78.00,76.00,28.00,21.00
21-May,18.00,374.00,753.00,36.00,69.00,215.00,6301.00,89.00,1962.00,1217.00,2998.00,133.00,266.00,254.00,557.00,162.00,140.00,410.00,674.00,436.00,180.00,273.00,202.00,1135.00,117.00,101.00,108.00,97.00,135.00,110.00,410.00,86.00,79.00,44.00,21.00
22-May,19.00,380.00,768.00,36.00,69.00,220.00,6400.00,91.00,2002.00,1234.00,3129.00,140.00,271.00,290.00,572.00,163.00,141.00,464.00,693.00,438.00,198.00,285.00,211.00,1206.00,117.00,105.00,109.00,99.00,157.00,119.00,437.00,86.00,79.00,47.00,21.00
23-May,19.00,388.00,768.00,39.00,69.00,225.00,6515.00,91.00,2045.00,1288.00,3595.00,168.00,274.00,292.00,590.00,163.00,150.00,474.00,725.00,443.00,201.00,294.00,215.00,1264.00,121.00,105.00,110.00,99.00,157.00,129.00,494.00,86.00,79.00,49.00,21.00
24-May,19.00,394.00,789.00,39.00,69.00,226.00,6634.00,95.00,2091.00,1309.00,3663.00,168.00,276.00,308.00,599.00,164.00,154.00,478.00,736.00,478.00,230.00,311.00,215.00,1296.00,121.00,109.00,111.00,100.00,159.00,130.00,556.00,86.00,79.00,58.00,21.00
